"","X","pob","indiv","fruto","tiempo","sv","masa","l_cipsela","a_cisela","l_papus","altura_sitio","capitulos","altura_planta","prob_germ","germ","area_p","vol_c","pl_m","pl_v"
"93",95,"cb",3,2,2.053328,1.07143135436715,1.91,4.11,1.238,6.725,960,25,81,0.911394745299226,1,142.080491254007,2.47367703353505,0.0134430841499933,0.0174103918961872
"94",96,"cb",3,3,2.150596,1.0229722365335,2.31,3.966,1.005,6.749,960,25,81,0.985368106536802,1,143.096406919954,1.57305793971126,0.0161429629836351,0.0109929939791654
"95",97,"cb",3,3,2.163896,1.01668472052261,2.31,3.966,1.005,6.749,960,25,81,0.985368106536802,1,143.096406919954,1.57305793971126,0.0161429629836351,0.0109929939791654
"96",98,"cb",3,3,2.148064,1.02417805056088,2.31,3.966,1.005,6.749,960,25,81,0.985368106536802,1,143.096406919954,1.57305793971126,0.0161429629836351,0.0109929939791654
"97",99,"cm",3,1,2.116408,1.03949711019803,1.93,4.459,1.053,6.155,1170,60,81,0.918694224294454,1,119.016174628412,1.94157468303751,0.0162162832575133,0.0163135362827735
"98",100,"cm",3,1,2.115968,1.03971326598512,1.93,4.459,1.053,6.155,1170,60,81,0.918694224294454,1,119.016174628412,1.94157468303751,0.0162162832575133,0.0163135362827735
"99",101,"cm",3,1,2.096028,1.04960429917921,1.93,4.459,1.053,6.155,1170,60,81,0.918694224294454,1,119.016174628412,1.94157468303751,0.0162162832575133,0.0163135362827735
"100",102,"cm",3,2,2.373168,0.927030871813542,1.86,4.167,0.916,6.995,1170,60,81,0.890504686014999,1,153.718207079965,1.37301200173108,0.0121000630656095,0.00893200634988435
"101",103,"cm",3,2,2.679336,0.82109895884652,1.86,4.167,0.916,6.995,1170,60,81,0.890504686014999,1,153.718207079965,1.37301200173108,0.0121000630656095,0.00893200634988435
"102",104,"cm",3,2,2.654916,0.828651452625996,1.86,4.167,0.916,6.995,1170,60,81,0.890504686014999,1,153.718207079965,1.37301200173108,0.0121000630656095,0.00893200634988435
"103",105,"cm",3,3,2.194856,1.00234366172542,2.04,4.297,0.95,6.33,1170,60,81,0.949858719589242,1,125.880161877424,1.52290372853862,0.0162058895506224,0.0120980439318274
"104",106,"cm",3,3,2.233856,0.984844143937658,2.04,4.297,0.95,6.33,1170,60,81,0.949858719589242,1,125.880161877424,1.52290372853862,0.0162058895506224,0.0120980439318274
