,pob,indiv,fruto,tiempo,sv,masa,l_cipsela,a_cisela,l_papus,altura_sitio,capitulos,altura_planta,prob_germ,germ
175,candonga,4,2,3233596,,2.3,5.123,0.857,7.598,,70,95,0.9846751483403364,1
176,candonga,4,2,3271140,,2.3,5.123,0.857,7.598,,70,95,0.9846751483403364,1
177,candonga,4,3,3119916,,2.42,4.461,0.882,8.005,,70,95,0.9912207301203089,1
178,candonga,4,3,3002520,,2.42,4.461,0.882,8.005,,70,95,0.9912207301203089,1
179,candonga,4,3,3164780,,2.42,4.461,0.882,8.005,,70,95,0.9912207301203089,1
180,cb,5,1,2649896,,1.65,3.695,1.098,7.185,960.0,240,84,0.752020516549723,1
181,cb,5,1,2688320,,1.65,3.695,1.098,7.185,960.0,240,84,0.752020516549723,1
182,cb,5,1,2627440,,1.65,3.695,1.098,7.185,960.0,240,84,0.752020516549723,1
183,cb,5,2,2788956,,1.56,3.838,1.03,6.535,960.0,240,84,0.6652183007117376,1
184,cb,5,2,2788196,,1.56,3.838,1.03,6.535,960.0,240,84,0.6652183007117376,1
185,cb,5,2,2790300,,1.56,3.838,1.03,6.535,960.0,240,84,0.6652183007117376,1
186,cb,5,3,2768524,,1.77,3.653,1.011,7.055,960.0,240,84,0.8419921003719185,1
187,cb,5,3,2733536,,1.77,3.653,1.011,7.055,960.0,240,84,0.8419921003719185,1
188,cb,5,3,2731212,,1.77,3.653,1.011,7.055,960.0,240,84,0.8419921003719185,1
189,cm,5,1,4167308,,0.7,3.925,0.822,6.501,1170.0,40,55,0.03378821973547005,0
190,cm,5,1,4180172,,0.7,3.925,0.822,6.501,1170.0,40,55,0.03378821973547005,0
191,cm,5,1,4108080,,0.7,3.925,0.822,6.501,1170.0,40,55,0.03378821973547005,0
192,cm,5,2,3968264,,0.39,3.642,0.789,6.787,1170.0,40,55,0.008085885399963494,0
193,cm,5,2,3924752,,0.39,3.642,0.789,6.787,1170.0,40,55,0.008085885399963494,0
194,cm,5,2,3993292,,0.39,3.642,0.789,6.787,1170.0,40,55,0.008085885399963494,0
195,cm,5,3,4139020,,1.03,3.658,0.865,7.013,1170.0,40,55,0.14147730499301658,0
196,cm,5,3,4225604,,1.03,3.658,0.865,7.013,1170.0,40,55,0.14147730499301658,0
197,cm,5,3,4457164,,1.03,3.658,0.865,7.013,1170.0,40,55,0.14147730499301658,0
198,ca,5,1,2627764,,2.38,3.708,0.858,7.468,1350.0,49,59,0.9894251055254735,1
199,ca,5,1,2640888,,2.38,3.708,0.858,7.468,1350.0,49,59,0.9894251055254735,1
