pob,indiv,fruto,tiempo,sv,masa,l_cipsela,a_cisela,l_papus,altura_sitio,capitulos,altura_planta
cm,4,2,4330032,,0.6,3.275,0.704,6.375,1170,90,60
cm,4,3,2748700,,0.75,3.864,0.763,6.245,1170,90,60
cm,4,3,2682760,,0.75,3.864,0.763,6.245,1170,90,60
cm,4,3,2807032,,0.75,3.864,0.763,6.245,1170,90,60
ca,4,1,4424120,,0.78,3.624,0.884,6.752,1350,572,66
ca,4,1,4407748,,0.78,3.624,0.884,6.752,1350,572,66
ca,4,1,4470152,,0.78,3.624,0.884,6.752,1350,572,66
ca,4,2,3168060,,1.82,3.628,0.877,7.073,1350,572,66
ca,4,2,3157092,,1.82,3.628,0.877,7.073,1350,572,66
ca,4,2,3176048,,1.82,3.628,0.877,7.073,1350,572,66
ca,4,3,2982556,,1.86,3.634,0.803,6.888,1350,572,66
ca,4,3,2966848,,1.86,3.634,0.803,6.888,1350,572,66
ca,4,3,3112604,,1.86,3.634,0.803,6.888,1350,572,66
cabal,4,1,3157360,,1.02,3.68,1.164,6.825,,385,63
cabal,4,1,3139668,,1.02,3.68,1.164,6.825,,385,63
cabal,4,1,3127348,,1.02,3.68,1.164,6.825,,385,63
cabal,4,2,2185468,,1.93,3.533,0.948,6.555,,385,63
cabal,4,2,2176432,,1.93,3.533,0.948,6.555,,385,63
cabal,4,2,2193340,,1.93,3.533,0.948,6.555,,385,63
cabal,4,3,2107668,,2.25,3.694,0.936,6.586,,385,63
cabal,4,3,2133992,,2.25,3.694,0.936,6.586,,385,63
cabal,4,3,2132548,,2.25,3.694,0.936,6.586,,385,63
candonga,4,1,3217132,,2.19,4.756,0.937,8.214,,70,95
candonga,4,1,3190428,,2.19,4.756,0.937,8.214,,70,95
candonga,4,1,3238352,,2.19,4.756,0.937,8.214,,70,95
candonga,4,2,3243276,,2.3,5.123,0.857,7.598,,70,95
candonga,4,2,3233596,,2.3,5.123,0.857,7.598,,70,95
candonga,4,2,3271140,,2.3,5.123,0.857,7.598,,70,95
candonga,4,3,3119916,,2.42,4.461,0.882,8.005,,70,95
candonga,4,3,3002520,,2.42,4.461,0.882,8.005,,70,95
candonga,4,3,3164780,,2.42,4.461,0.882,8.005,,70,95
cb,5,1,2649896,,1.65,3.695,1.098,7.185,960,240,84
cb,5,1,2688320,,1.65,3.695,1.098,7.185,960,240,84
cb,5,1,2627440,,1.65,3.695,1.098,7.185,960,240,84
cb,5,2,2788956,,1.56,3.838,1.03,6.535,960,240,84
cb,5,2,2788196,,1.56,3.838,1.03,6.535,960,240,84
cb,5,2,2790300,,1.56,3.838,1.03,6.535,960,240,84
cb,5,3,2768524,,1.77,3.653,1.011,7.055,960,240,84
cb,5,3,2733536,,1.77,3.653,1.011,7.055,960,240,84
cb,5,3,2731212,,1.77,3.653,1.011,7.055,960,240,84
cm,5,1,4167308,,0.7,3.925,0.822,6.501,1170,40,55
cm,5,1,4180172,,0.7,3.925,0.822,6.501,1170,40,55
