pob,indiv,fruto,tiempo,sv,masa,l_cipsela,a_cisela,l_papus,altura_sitio,capitulos,altura_planta
cb,10,3,2142280,,2.05,4.04,0.947,7.367,960,4000,117
cm,10,1,2637956,,1.85,4.098,0.98,6.286,1170,50,66
cm,10,1,2647092,,1.85,4.098,0.98,6.286,1170,50,66
cm,10,1,2609684,,1.85,4.098,0.98,6.286,1170,50,66
cm,10,2,2518024,,1.45,4.101,0.849,6.27,1170,50,66
cm,10,2,2503404,,1.45,4.101,0.849,6.27,1170,50,66
cm,10,2,2471752,,1.45,4.101,0.849,6.27,1170,50,66
cm,10,3,2341644,,1.62,4.154,0.865,6.355,1170,50,66
cm,10,3,2351556,,1.62,4.154,0.865,6.355,1170,50,66
cm,10,3,2316336,,1.62,4.154,0.865,6.355,1170,50,66
ca,10,1,3822632,,1.14,4.671,0.971,8.442,1350,149,62
ca,10,1,3876444,,1.14,4.671,0.971,8.442,1350,149,62
ca,10,1,3865384,,1.14,4.671,0.971,8.442,1350,149,62
ca,10,2,3415388,,1.73,4.407,1.041,7.646,1350,149,62
ca,10,2,3261884,,1.73,4.407,1.041,7.646,1350,149,62
ca,10,2,3271184,,1.73,4.407,1.041,7.646,1350,149,62
ca,10,3,2983020,,2.1,4.248,0.974,7.335,1350,149,62
ca,10,3,2993576,,2.1,4.248,0.974,7.335,1350,149,62
ca,10,3,3039440,,2.1,4.248,0.974,7.335,1350,149,62
cabal,10,1,2039320,,2.05,3.79,0.97,6.23,,594,98
cabal,10,1,2025196,,2.05,3.79,0.97,6.23,,594,98
cabal,10,1,2054004,,2.05,3.79,0.97,6.23,,594,98
cabal,10,2,2159512,,2.06,3.82,1.05,5.92,,594,98
cabal,10,2,2146868,,2.06,3.82,1.05,5.92,,594,98
cabal,10,2,2152300,,2.06,3.82,1.05,5.92,,594,98
cabal,10,3,2208720,,1.74,3.6,1,6.11,,594,98
cabal,10,3,2226536,,1.74,3.6,1,6.11,,594,98
cabal,10,3,2225440,,1.74,3.6,1,6.11,,594,98
candonga,10,1,3382008,,0.86,2.869,0.706,6.69,,150,97
candonga,10,1,3363336,,0.86,2.869,0.706,6.69,,150,97
candonga,10,1,3299808,,0.86,2.869,0.706,6.69,,150,97
candonga,10,2,4871836,,0.73,3.469,0.644,6.702,,150,97
candonga,10,2,4994380,,0.73,3.469,0.644,6.702,,150,97
candonga,10,2,4619580,,0.73,3.469,0.644,6.702,,150,97
candonga,10,3,4650120,,0.63,2.874,0.831,7.087,,150,97
candonga,10,3,4373180,,0.63,2.874,0.831,7.087,,150,97
candonga,10,3,4344240,,0.63,2.874,0.831,7.087,,150,97
cb,11,1,2606712,,1.68,4.551,1.04,7.388,960,300,77
cb,11,1,2560392,,1.68,4.551,1.04,7.388,960,300,77
cb,11,1,2633756,,1.68,4.551,1.04,7.388,960,300,77
cb,11,2,2435772,,2.04,4.398,0.888,7.217,960,300,77
cb,11,2,2457108,,2.04,4.398,0.888,7.217,960,300,77
cb,11,2,2426280,,2.04,4.398,0.888,7.217,960,300,77
cb,11,3,2599204,,1.97,4.409,0.972,7.334,960,300,77
cb,11,3,2537448,,1.97,4.409,0.972,7.334,960,300,77
cb,11,3,2560700,,1.97,4.409,0.972,7.334,960,300,77
candonga,11,1,2806988,,2,4.028,1.065,7.081,,250,80
candonga,11,1,2775316,,2,4.028,1.065,7.081,,250,80
candonga,11,1,2786808,,2,4.028,1.065,7.081,,250,80
candonga,11,2,2773376,,2.08,3.594,1.11,7.375,,250,80
candonga,11,2,2801876,,2.08,3.594,1.11,7.375,,250,80
candonga,11,2,2811716,,2.08,3.594,1.11,7.375,,250,80
candonga,11,3,2867248,,2.14,3.979,0.887,7.352,,250,80
candonga,11,3,2992296,,2.14,3.979,0.887,7.352,,250,80
candonga,11,3,2885324,,2.14,3.979,0.887,7.352,,250,80
candonga,12,1,3642900,,0.8,4.133,1.093,6.978,,30,75
candonga,12,1,3624944,,0.8,4.133,1.093,6.978,,30,75
candonga,12,1,3554300,,0.8,4.133,1.093,6.978,,30,75
candonga,12,2,3390864,,1.12,4.129,1.208,8.112,,30,75
candonga,12,2,3358700,,1.12,4.129,1.208,8.112,,30,75
candonga,12,2,3489964,,1.12,4.129,1.208,8.112,,30,75
candonga,12,3,2211432,,2.02,3.671,0.995,7.707,,30,75
candonga,12,3,2252384,,2.02,3.671,0.995,7.707,,30,75
candonga,12,3,2239088,,2.02,3.671,0.995,7.707,,30,75
candonga,13,1,3418484,,1.47,3.723,0.746,7.372,,125,83
candonga,13,1,3403256,,1.47,3.723,0.746,7.372,,125,83
candonga,13,1,3369580,,1.47,3.723,0.746,7.372,,125,83
candonga,13,2,4403544,,0.8,3.547,0.853,7.604,,125,83
candonga,13,2,4371328,,0.8,3.547,0.853,7.604,,125,83
candonga,13,2,4458636,,0.8,3.547,0.853,7.604,,125,83
candonga,13,3,3819172,,0.54,3.554,0.933,7.62,,125,83
candonga,13,3,3705364,,0.54,3.554,0.933,7.62,,125,83
candonga,13,3,3782376,,0.54,3.554,0.933,7.62,,125,83
candonga,14,1,4603868,,0.62,3.758,0.942,8.971,,25,80
candonga,14,1,4478760,,0.62,3.758,0.942,8.971,,25,80
candonga,14,1,4487712,,0.62,3.758,0.942,8.971,,25,80
candonga,14,2,3068820,,1.68,3.282,1.084,8.331,,25,80
candonga,14,2,3046872,,1.68,3.282,1.084,8.331,,25,80
candonga,14,2,3059508,,1.68,3.282,1.084,8.331,,25,80
candonga,14,3,5186276,,0.57,3.611,0.96,8.799,,25,80
candonga,14,3,5017956,,0.57,3.611,0.96,8.799,,25,80
candonga,14,3,5028072,,0.57,3.611,0.96,8.799,,25,80
candonga,15,1,4335564,,0.71,4.229,0.968,8.077,,300,90
candonga,15,1,4307288,,0.71,4.229,0.968,8.077,,300,90
candonga,15,1,4259788,,0.71,4.229,0.968,8.077,,300,90
candonga,15,2,2947248,,1.88,4.071,0.838,8.036,,300,90
candonga,15,2,2858304,,1.88,4.071,0.838,8.036,,300,90
candonga,15,2,2839448,,1.88,4.071,0.838,8.036,,300,90
candonga,15,3,3817536,,0.78,4.054,0.87,8.254,,300,90
candonga,15,3,3957916,,0.78,4.054,0.87,8.254,,300,90
candonga,15,3,3956132,,0.78,4.054,0.87,8.254,,300,90
candonga,16,1,4788908,,0.58,3.86,0.741,7.412,,90,60
candonga,16,1,4750352,,0.58,3.86,0.741,7.412,,90,60
candonga,16,1,4698336,,0.58,3.86,0.741,7.412,,90,60
candonga,16,2,4509828,,0.6,3.975,0.969,7.614,,90,60
candonga,16,2,4698664,,0.6,3.975,0.969,7.614,,90,60
candonga,16,2,4583372,,0.6,3.975,0.969,7.614,,90,60
candonga,16,3,3861184,,1.42,3.729,0.759,8.08,,90,60
candonga,16,3,3780144,,1.42,3.729,0.759,8.08,,90,60
candonga,16,3,3804748,,1.42,3.729,0.759,8.08,,90,60
candonga,17,1,3310988,,0.85,3.588,0.853,6.081,,50,114
candonga,17,1,3264632,,0.85,3.588,0.853,6.081,,50,114
candonga,17,1,3377064,,0.85,3.588,0.853,6.081,,50,114
candonga,17,2,2569788,,1.47,3.662,0.791,6.427,,50,114
candonga,17,2,2612972,,1.47,3.662,0.791,6.427,,50,114
candonga,17,2,2594896,,1.47,3.662,0.791,6.427,,50,114
candonga,17,3,3611988,,0.4,3.752,0.95,5.887,,50,114
candonga,17,3,3609784,,0.4,3.752,0.95,5.887,,50,114
candonga,17,3,3674700,,0.4,3.752,0.95,5.887,,50,114
candonga,18,1,3080812,,1.06,3.558,0.853,6.265,,49,70
candonga,18,1,3089916,,1.06,3.558,0.853,6.265,,49,70
candonga,18,1,3097104,,1.06,3.558,0.853,6.265,,49,70
candonga,18,2,2940960,,1.04,3.724,0.783,6.307,,49,70
candonga,18,2,2882428,,1.04,3.724,0.783,6.307,,49,70
candonga,18,2,2925528,,1.04,3.724,0.783,6.307,,49,70
candonga,18,3,2474356,,1.03,3.893,0.845,6.52,,49,70
candonga,18,3,2502404,,1.03,3.893,0.845,6.52,,49,70
candonga,18,3,2599188,,1.03,3.893,0.845,6.52,,49,70
candonga,19,1,2492828,,1.27,3.532,0.754,5.679,,20,65
candonga,19,1,2480832,,1.27,3.532,0.754,5.679,,20,65
candonga,19,1,2487096,,1.27,3.532,0.754,5.679,,20,65
candonga,19,2,2998328,,1.16,3.765,0.897,6.541,,20,65
candonga,19,2,2900488,,1.16,3.765,0.897,6.541,,20,65
candonga,19,2,2941700,,1.16,3.765,0.897,6.541,,20,65
candonga,19,3,2845592,,1.15,3.506,0.981,5.973,,20,65
candonga,19,3,2831004,,1.15,3.506,0.981,5.973,,20,65
candonga,19,3,2858652,,1.15,3.506,0.981,5.973,,20,65
candonga,20,1,4212680,,0.58,3.402,0.904,6.117,,30,78
candonga,20,1,4383652,,0.58,3.402,0.904,6.117,,30,78
candonga,20,1,4467000,,0.58,3.402,0.904,6.117,,30,78
candonga,20,2,3039988,,1.92,3.837,0.934,7.011,,30,78
candonga,20,2,3007412,,1.92,3.837,0.934,7.011,,30,78
candonga,20,2,3060580,,1.92,3.837,0.934,7.011,,30,78
candonga,20,3,3073244,,1.07,3.327,0.808,6.573,,30,78
candonga,20,3,3161204,,1.07,3.327,0.808,6.573,,30,78
candonga,20,3,3102576,,1.07,3.327,0.808,6.573,,30,78
